epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,360.249,0.85183,0.91875,1.06419,0.88914,0.75804,0.83921,0.68835,0.75839,0.89655,1.0133,0.000880012,0.000880012,0.000880012
14,387.867,0.84254,0.83614,1.02827,0.87659,0.77147,0.83215,0.68505,0.75457,0.8725,1.01247,0.000870013,0.000870013,0.000870013
15,415.373,0.78513,0.79316,1.01012,0.90468,0.77247,0.86766,0.69801,0.80021,0.84778,1.01415,0.000860014,0.000860014,0.000860014
16,442.888,0.81649,0.74174,1.01485,0.9133,0.84337,0.89266,0.72956,0.72,0.69878,0.9977,0.000850015,0.000850015,0.000850015
17,470.593,0.72588,0.73394,0.99076,0.93034,0.79884,0.86898,0.72511,0.6937,0.85239,0.99144,0.000840016,0.000840016,0.000840016
18,497.915,0.73725,0.70979,1.00194,0.93701,0.78777,0.85922,0.72356,0.71614,0.78202,1.00078,0.000830017,0.000830017,0.000830017
19,525.5,0.7185,0.6444,0.97907,0.91743,0.84676,0.88664,0.73768,0.70161,0.69505,0.98668,0.000820018,0.000820018,0.000820018
20,553.067,0.70617,0.65583,0.9726,0.94919,0.83011,0.88727,0.74179,0.68882,0.68706,0.9938,0.000810019,0.000810019,0.000810019
21,580.742,0.70019,0.62798,0.96869,0.95306,0.8043,0.89245,0.74782,0.63572,0.6603,0.94898,0.00080002,0.00080002,0.00080002
22,608.925,0.73189,0.67507,0.98111,0.93984,0.7893,0.88418,0.74245,0.67833,0.67381,0.97596,0.000790021,0.000790021,0.000790021
23,636.357,0.67669,0.59473,0.96322,0.95209,0.85816,0.90393,0.7841,0.56994,0.55708,0.91809,0.000780022,0.000780022,0.000780022
24,664.123,0.6377,0.57381,0.93381,0.94034,0.83815,0.89766,0.78242,0.59384,0.57533,0.93266,0.000770023,0.000770023,0.000770023
25,691.756,0.65393,0.56319,0.95296,0.90655,0.81507,0.8827,0.72776,0.69394,0.68043,0.99906,0.000760024,0.000760024,0.000760024
26,719.359,0.6421,0.55969,0.94642,0.96432,0.81363,0.89756,0.77511,0.6016,0.57386,0.92279,0.000750025,0.000750025,0.000750025
27,747.037,0.6808,0.59206,0.95795,0.95647,0.8488,0.90309,0.77968,0.59433,0.59239,0.94471,0.000740026,0.000740026,0.000740026
28,775.213,0.61726,0.54383,0.93199,0.95711,0.82307,0.88298,0.76904,0.5787,0.60448,0.93521,0.000730027,0.000730027,0.000730027
29,803.26,0.60588,0.52921,0.93165,0.94788,0.86814,0.9112,0.7963,0.54562,0.53785,0.91265,0.000720028,0.000720028,0.000720028
30,836.478,0.58659,0.51965,0.90723,0.92461,0.8575,0.90939,0.80908,0.53177,0.54095,0.8956,0.000710029,0.000710029,0.000710029
31,878.379,0.57152,0.52108,0.8986,0.97865,0.83205,0.91378,0.81025,0.54754,0.52452,0.90502,0.00070003,0.00070003,0.00070003
32,909.593,0.55922,0.49276,0.89943,0.95113,0.87368,0.91723,0.82484,0.50546,0.49475,0.8831,0.000690031,0.000690031,0.000690031
33,940.662,0.57385,0.48345,0.90797,0.93596,0.86289,0.91561,0.80721,0.51899,0.49432,0.89888,0.000680032,0.000680032,0.000680032
34,969.318,0.56824,0.50728,0.89828,0.97864,0.84879,0.91351,0.81478,0.52447,0.50986,0.89484,0.000670033,0.000670033,0.000670033
35,997.453,0.58575,0.48551,0.90614,0.95863,0.89111,0.9176,0.81512,0.53062,0.51221,0.89569,0.000660034,0.000660034,0.000660034
36,1025.43,0.56442,0.47157,0.90857,0.95529,0.8821,0.91873,0.80794,0.55075,0.51506,0.90652,0.000650035,0.000650035,0.000650035
37,1054.06,0.5541,0.47085,0.89847,0.95316,0.84923,0.90374,0.79366,0.55082,0.52538,0.91365,0.000640036,0.000640036,0.000640036
38,1082.37,0.56206,0.45146,0.90462,0.99368,0.84787,0.91335,0.79439,0.57704,0.50708,0.9349,0.000630037,0.000630037,0.000630037
39,1110.83,0.54024,0.43788,0.89002,0.97102,0.85395,0.92303,0.8215,0.53949,0.52532,0.89936,0.000620038,0.000620038,0.000620038
40,1139.62,0.5397,0.45526,0.88721,0.97812,0.88216,0.91349,0.81421,0.51225,0.45888,0.89696,0.000610039,0.000610039,0.000610039
41,1169.8,0.52547,0.42612,0.88439,0.94848,0.85682,0.91997,0.81824,0.50764,0.49641,0.89809,0.00060004,0.00060004,0.00060004
42,1199.14,0.50206,0.41481,0.8788,0.97879,0.86295,0.92765,0.83991,0.48634,0.4408,0.87424,0.000590041,0.000590041,0.000590041
43,1228.31,0.50453,0.40666,0.87167,0.97468,0.87699,0.92582,0.83258,0.49568,0.44082,0.88111,0.000580042,0.000580042,0.000580042
